city,state,pop,query
Lake Worth Beach,FL,42219,Lake Worth Beach FL
Enfield,CT,42141,Enfield CT
Billerica,MA,42119,Billerica MA
Kearny,NJ,41999,Kearny NJ
Fitchburg,MA,41946,Fitchburg MA
Coachella,CA,41941,Coachella CA
Marlborough,MA,41793,Marlborough MA
Columbia,TN,41690,Columbia TN
Hollister,CA,41678,Hollister CA
Marion,IA,41535,Marion IA
Marlboro Township,NJ,41502,Marlboro Township NJ
Bullhead City,AZ,41348,Bullhead City AZ
Germantown,TN,41333,Germantown TN
Delaware,OH,41302,Delaware OH
Milton,GA,41296,Milton GA
Pine Bluff,AK,41253,Pine Bluff AK
Pine Bluff,AR,41253,Pine Bluff AR
Grove City,OH,41252,Grove City OH
Teaneck,NJ,41246,Teaneck NJ
Hallandale Beach,FL,41217,Hallandale Beach FL
Bartlett,IL,41105,Bartlett IL
Reynoldsburg,OH,41076,Reynoldsburg OH
Weslaco,TX,41024,Weslaco TX
Friendswood,TX,41004,Friendswood TX
Covington,KY,40961,Covington KY
Indian Trail,NC,40953,Indian Trail NC
Maplewood,MN,40940,Maplewood MN
Montclair,NJ,40921,Montclair NJ
Manalapan Township,NJ,40905,Manalapan Township NJ
Woburn,MA,40876,Woburn MA
Shelton,CT,40869,Shelton CT
Westfield,MA,40834,Westfield MA
Annapolis,MD,40812,Annapolis MD
Chelsea,MA,40787,Chelsea MA
Culver City,CA,40779,Culver City CA
Lake Oswego,OR,40732,Lake Oswego OR
Lancaster,TX,40728,Lancaster TX
Cedar Falls,IA,40713,Cedar Falls IA
Valley Stream,NY,40634,Valley Stream NY
Lancaster,OH,40552,Lancaster OH
Hobbs,NM,40508,Hobbs NM
Findlay,OH,40313,Findlay OH
DeKalb,IL,40290,DeKalb IL
Crystal Lake,IL,40269,Crystal Lake IL
Aventura,FL,40242,Aventura FL
Fort Lee,NJ,40191,Fort Lee NJ
Florence,AL,40184,Florence AL
Norwich,CT,40125,Norwich CT
Brighton,CO,40083,Brighton CO
Oviedo,FL,40059,Oviedo FL
Hurst,TX,40055,Hurst TX
Issaquah,WA,40051,Issaquah WA
Hutchinson ,KS,40006,Hutchinson  KS
