city,state,pop,query
Lebanon,OR,18447,Lebanon OR
Niles,OH,18443,Niles OH
Arroyo Grande,CA,18441,Arroyo Grande CA
Windham,ME,18434,Windham ME
Albert Lea ,MN,18428,Albert Lea  MN
Johnstown,PA,18411,Johnstown PA
Tallmadge,OH,18394,Tallmadge OH
Pinecrest,FL,18388,Pinecrest FL
Montville,CT,18387,Montville CT
Wisconsin Rapids,WI,18367,Wisconsin Rapids WI
Logansport,IN,18366,Logansport IN
Pembroke,MA,18361,Pembroke MA
Winder ,GA,18338,Winder  GA
Kingsland,GA,18337,Kingsland GA
Gorham,ME,18336,Gorham ME
Stonington,CT,18335,Stonington CT
Nederland,TX,18331,Nederland TX
Blythe,CA,18317,Blythe CA
Somerset,MA,18303,Somerset MA
Colonial Heights,VA,18294,Colonial Heights VA
Newburyport,MA,18289,Newburyport MA
Manor,TX,18285,Manor TX
Cudahy,WI,18267,Cudahy WI
North Aurora,IL,18261,North Aurora IL
St Marys,GA,18256,St Marys GA
Scarsdale,NY,18253,Scarsdale NY
Portsmouth,OH,18252,Portsmouth OH
Amsterdam,NY,18219,Amsterdam NY
Cullman,AL,18213,Cullman AL
Fairmont ,WV,18209,Fairmont  WV
Washington Township,NJ,18197,Washington Township NJ
Shorewood,IL,18186,Shorewood IL
Centralia,WA,18183,Centralia WA
McAlester ,OK,18171,McAlester  OK
Canby,OR,18171,Canby OR
Bourbonnais,IL,18164,Bourbonnais IL
Steubenville,OH,18161,Steubenville OH
South Hadley,MA,18150,South Hadley MA
Cohoes,NY,18147,Cohoes NY
Brenham,TX,18117,Brenham TX
Panama City Beach,FL,18094,Panama City Beach FL
Manchester,MO,18094,Manchester MO
Mount Washington,KY,18090,Mount Washington KY
White Settlement,TX,18084,White Settlement TX
Natchitoches,LA,18039,Natchitoches LA
Ashtabula,OH,17975,Ashtabula OH
Selma,AL,17971,Selma AL
Tiffin,OH,17953,Tiffin OH
Hannibal,MO,17916,Hannibal MO
Sevierville,TN,17889,Sevierville TN
Pataskala,OH,17886,Pataskala OH
Delran Township,NJ,17882,Delran Township NJ
Bay City,TX,17882,Bay City TX
Portsmouth,RI,17871,Portsmouth RI
Dumont,NJ,17863,Dumont NJ
Anoka ,MN,17847,Anoka  MN
North Canton,OH,17842,North Canton OH
Creve Coeur,MO,17833,Creve Coeur MO
Cary,IL,17826,Cary IL
Godfrey,IL,17825,Godfrey IL
Ozark ,MO,17820,Ozark  MO
Gretna,LA,17814,Gretna LA
Rockland,MA,17803,Rockland MA
Centerton,AK,17792,Centerton AK
Centerton,AR,17792,Centerton AR
Goodlettsville,TN,17789,Goodlettsville TN
Webster,MA,17776,Webster MA
Greenfield,MA,17768,Greenfield MA
Alice,TX,17761,Alice TX
El Dorado,AK,17756,El Dorado AK
El Dorado,AR,17756,El Dorado AR
Killingly,CT,17752,Killingly CT
Southbridge,MA,17740,Southbridge MA
Onalaska,WI,17736,Onalaska WI
Troy,AL,17727,Troy AL
McKeesport,PA,17727,McKeesport PA
Ammon,ID,17694,Ammon ID
Madison,CT,17691,Madison CT
Clemson,SC,17681,Clemson SC
New Philadelphia,OH,17677,New Philadelphia OH
Eastlake,OH,17670,Eastlake OH
Laguna Woods,CA,17644,Laguna Woods CA
Anacortes,WA,17637,Anacortes WA
Lemont,IL,17629,Lemont IL
Takoma Park,MD,17629,Takoma Park MD
Jacksonville,IL,17616,Jacksonville IL
Coalinga,CA,17590,Coalinga CA
Gainesville,TX,17576,Gainesville TX
Cortland,NY,17556,Cortland NY
St Matthews,KY,17534,St Matthews KY
Brookfield,CT,17528,Brookfield CT
Plainville,CT,17525,Plainville CT
Colchester,VT,17524,Colchester VT
Kirksville ,MO,17505,Kirksville  MO
Hopewell Township,NJ,17491,Hopewell Township NJ
South Ogden,UT,17488,South Ogden UT
Ocean Springs,MS,17442,Ocean Springs MS
Middleton,WI,17442,Middleton WI
Fort Thomas,KY,17438,Fort Thomas KY
Stuart,FL,17425,Stuart FL
West Columbia,SC,17416,West Columbia SC
Holmdel Township,NJ,17400,Holmdel Township NJ
New Castle,IN,17396,New Castle IN
Hinsdale,IL,17395,Hinsdale IL
Amesbury,MA,17366,Amesbury MA
Stafford,TX,17364,Stafford TX
Menasha,WI,17353,Menasha WI
Murray,KY,17307,Murray KY
Conyers ,GA,17305,Conyers  GA
Johnstown,CO,17303,Johnstown CO
Fairview Park,OH,17291,Fairview Park OH
Siloam Springs,AK,17287,Siloam Springs AK
Siloam Springs,AR,17287,Siloam Springs AR
Charleston,IL,17286,Charleston IL
Shelbyville,KY,17282,Shelbyville KY
El Segundo,CA,17272,El Segundo CA
Streetsboro,OH,17260,Streetsboro OH
Los Lunas,NM,17242,Los Lunas NM
Aurora,OH,17239,Aurora OH
Danville,KY,17234,Danville KY
Norcross,GA,17209,Norcross GA
Weehawken,NJ,17197,Weehawken NJ
Zephyrhills,FL,17194,Zephyrhills FL
Springfield Township,NJ,17178,Springfield Township NJ
Laurel,MS,17161,Laurel MS
Barrington,RI,17153,Barrington RI
Buford,GA,17144,Buford GA
Swansea,MA,17144,Swansea MA
Caon City,CO,17141,Caon City CO
Hernando,MS,17138,Hernando MS
Glenn Heights,TX,17127,Glenn Heights TX
Morton,IL,17117,Morton IL
Massapequa Park,NY,17109,Massapequa Park NY
Denville Township,NJ,17107,Denville Township NJ
Pendleton ,OR,17107,Pendleton  OR
Easton,MD,17101,Easton MD
Middletown,RI,17075,Middletown RI
Safety Harbor,FL,17072,Safety Harbor FL
Milledgeville ,GA,17070,Milledgeville  GA
Norwalk,OH,17068,Norwalk OH
Defiance,OH,17066,Defiance OH
Cinnaminson Township,NJ,17064,Cinnaminson Township NJ
Abington,MA,17062,Abington MA
Tifton ,GA,17045,Tifton  GA
Washougal,WA,17039,Washougal WA
Bridgeview,IL,17027,Bridgeview IL
Beckley ,WV,17024,Beckley  WV
Poplar Bluff ,MO,17023,Poplar Bluff  MO
Huntington,IN,17022,Huntington IN
Bluffdale,UT,17014,Bluffdale UT
Aberdeen,WA,17013,Aberdeen WA
Addison,TX,17012,Addison TX
Rancho Mirage,CA,16999,Rancho Mirage CA
El Reno ,OK,16989,El Reno  OK
Bellaire,TX,16983,Bellaire TX
Melissa,TX,16983,Melissa TX
Bristol,VA,16975,Bristol VA
Villa Rica,GA,16970,Villa Rica GA
Mount Vernon,OH,16956,Mount Vernon OH
Calhoun ,GA,16949,Calhoun  GA
Bellingham,MA,16945,Bellingham MA
Madison,NJ,16937,Madison NJ
New Milford,NJ,16923,New Milford NJ
Oswego,NY,16921,Oswego NY
Groves,TX,16915,Groves TX
Westchester,IL,16892,Westchester IL
Auburn,MA,16889,Auburn MA
Powder Springs,GA,16887,Powder Springs GA
Centerville,UT,16884,Centerville UT
Laconia,NH,16871,Laconia NH
Moraga,CA,16870,Moraga CA
Mattoon,IL,16870,Mattoon IL
Heber City,UT,16856,Heber City UT
Marion,IL,16855,Marion IL
Dallas ,OR,16854,Dallas  OR
Gatesville,TX,16854,Gatesville TX
Donna,TX,16821,Donna TX
Taylor,TX,16807,Taylor TX
Lake Mary,FL,16798,Lake Mary FL
Long Beach,MS,16780,Long Beach MS
Hueytown,AL,16776,Hueytown AL
Country Club Hills,IL,16775,Country Club Hills IL
Red Wing ,MN,16763,Red Wing  MN
Vincennes,IN,16759,Vincennes IN
Seymour,CT,16748,Seymour CT
La Vista,NE,16746,La Vista NE
West Haven,UT,16739,West Haven UT
Radford,VA,16738,Radford VA
Truckee,CA,16729,Truckee CA
Susanville,CA,16728,Susanville CA
New Port Richey,FL,16728,New Port Richey FL
Frankfort,IN,16715,Frankfort IN
Fairview Heights,IL,16706,Fairview Heights IL
Jasper,IN,16703,Jasper IN
Manassas Park,VA,16703,Manassas Park VA
Sunland Park,NM,16702,Sunland Park NM
Belle Glade,FL,16698,Belle Glade FL
Clearlake,CA,16685,Clearlake CA
Lebanon,IN,16662,Lebanon IN
Richmond Hill,GA,16633,Richmond Hill GA
Ham Lake,MN,16627,Ham Lake MN
Ukiah,CA,16607,Ukiah CA
Rye,NY,16592,Rye NY
Wyckoff,NJ,16585,Wyckoff NJ
Millbrook,AL,16564,Millbrook AL
Douglas,AZ,16534,Douglas AZ
Griffith,IN,16528,Griffith IN
Dyer,IN,16517,Dyer IN
Calera,AL,16494,Calera AL
Fairburn,GA,16483,Fairburn GA
Ada ,OK,16481,Ada  OK
Pampa,TX,16474,Pampa TX
Opalocka,FL,16463,Opalocka FL
North Arlington,NJ,16457,North Arlington NJ
East Longmeadow,MA,16430,East Longmeadow MA
Ellington,CT,16426,Ellington CT
Fillmore,CA,16419,Fillmore CA
Center Point,AL,16406,Center Point AL
Humble,TX,16396,Humble TX
Artesia,CA,16395,Artesia CA
Buffalo ,MN,16386,Buffalo  MN
Firestone,CO,16381,Firestone CO
Franklin Township,NJ,16380,Franklin Township NJ
Sunnyside,WA,16375,Sunnyside WA
Lake Wales,FL,16361,Lake Wales FL
Tiverton,RI,16359,Tiverton RI
Vero Beach,FL,16354,Vero Beach FL
Payson,AZ,16351,Payson AZ
Mount Dora,FL,16341,Mount Dora FL
Westport,MA,16339,Westport MA
Northbridge,MA,16335,Northbridge MA
La Grange,IL,16321,La Grange IL
Sikeston,MO,16318,Sikeston MO
Mercedes,TX,16312,Mercedes TX
Crawfordsville,IN,16306,Crawfordsville IN
Troutdale,OR,16300,Troutdale OR
West Richland,WA,16295,West Richland WA
Muscle Shoals,AL,16275,Muscle Shoals AL
Westwood,MA,16266,Westwood MA
Menomonie,WI,16264,Menomonie WI
Aberdeen,MD,16254,Aberdeen MD
Beaver Dam,WI,16243,Beaver Dam WI
Farmington ,MO,16240,Farmington  MO
Americus ,GA,16230,Americus  GA
Hermitage,PA,16230,Hermitage PA
Hampton,NH,16214,Hampton NH
Holly Springs,GA,16213,Holly Springs GA
Easthampton,MA,16211,Easthampton MA
Tahlequah ,OK,16209,Tahlequah  OK
Floral Park,NY,16172,Floral Park NY
Saraland,AL,16171,Saraland AL
Dyersburg,TN,16164,Dyersburg TN
Bay Village,OH,16163,Bay Village OH
Burrillville,RI,16158,Burrillville RI
Wolcott,CT,16142,Wolcott CT
Milford,NH,16131,Milford NH
Hewitt,TX,16131,Hewitt TX
Readington Township,NJ,16128,Readington Township NJ
South River,NJ,16118,South River NJ
Hugo,MN,16109,Hugo MN
Duxbury,MA,16090,Duxbury MA
Mount Pleasant,TX,16079,Mount Pleasant TX
Hibbing,MN,16077,Hibbing MN
Dublin ,GA,16074,Dublin  GA
Washington,IL,16071,Washington IL
Overland,MO,16062,Overland MO
Prospect Heights,IL,16058,Prospect Heights IL
Dickson,TN,16058,Dickson TN
Chickasha ,OK,16051,Chickasha  OK
Exeter,NH,16049,Exeter NH
Gardendale,AL,16044,Gardendale AL
Kerman,CA,16016,Kerman CA
Ripon,CA,16013,Ripon CA
The Dalles ,OR,16010,The Dalles  OR
Middleburg Heights,OH,16004,Middleburg Heights OH
Sulphur Springs,TX,15995,Sulphur Springs TX
Coos Bay,OR,15985,Coos Bay OR
Mountain Home ,ID,15979,Mountain Home  ID
Royse City,TX,15978,Royse City TX
Lady Lake,FL,15970,Lady Lake FL
Highland Village,TX,15952,Highland Village TX
Thibodaux,LA,15948,Thibodaux LA
Clayton ,MO,15939,Clayton  MO
Fremont,OH,15930,Fremont OH
Youngsville,LA,15929,Youngsville LA
Fairhaven,MA,15924,Fairhaven MA
Warren Township,NJ,15923,Warren Township NJ
Williamsburg,VA,15909,Williamsburg VA
Palmview,TX,15884,Palmview TX
South Houston,TX,15878,South Houston TX
Westbury,NY,15864,Westbury NY
Talladega,AL,15861,Talladega AL
Longmeadow,MA,15853,Longmeadow MA
Live Oak,TX,15840,Live Oak TX
Indianola,IA,15833,Indianola IA
Waterville,ME,15828,Waterville ME
Windham,NH,15817,Windham NH
Elkton,MD,15807,Elkton MD
Warsaw,IN,15804,Warsaw IN
Opelousas,LA,15786,Opelousas LA
Clarksburg ,WV,15784,Clarksburg  WV
Niceville,FL,15772,Niceville FL
Marco Island,FL,15760,Marco Island FL
Newton,IA,15760,Newton IA
Suffield,CT,15752,Suffield CT
Jamestown,ND,15750,Jamestown ND
Lynden,WA,15749,Lynden WA
Northborough,MA,15741,Northborough MA
Wildwood,FL,15730,Wildwood FL
Oconomowoc,WI,15712,Oconomowoc WI
Greenwood Village,CO,15691,Greenwood Village CO
Rio Grande City,TX,15670,Rio Grande City TX
Buda,TX,15643,Buda TX
Shively,KY,15636,Shively KY
Eloy,AZ,15635,Eloy AZ
Mitchell ,SD,15631,Mitchell  SD
Auburndale,FL,15616,Auburndale FL
Batavia,NY,15600,Batavia NY
Port Orchard,WA,15587,Port Orchard WA
New Haven,IN,15583,New Haven IN
La Palma,CA,15581,La Palma CA
Scottsboro,AL,15578,Scottsboro AL
Grovetown,GA,15577,Grovetown GA
Pequannock Township,NJ,15571,Pequannock Township NJ
Chubbuck,ID,15570,Chubbuck ID
Hayden,ID,15570,Hayden ID
Colchester,CT,15555,Colchester CT
North Reading,MA,15554,North Reading MA
Clark,NJ,15544,Clark NJ
Berea,KY,15539,Berea KY
Seekonk,MA,15531,Seekonk MA
Durham,NH,15490,Durham NH
Greeneville,TN,15479,Greeneville TN
Robbinsville Township,NJ,15476,Robbinsville Township NJ
Kaukauna,WI,15462,Kaukauna WI
Hartselle,AL,15455,Hartselle AL
Yankton ,SD,15453,Yankton  SD
Clinton,MA,15428,Clinton MA
Bradley,IL,15419,Bradley IL
Ledyard,CT,15413,Ledyard CT
Monroe,OH,15412,Monroe OH
Tenafly,NJ,15409,Tenafly NJ
Haddon Township,NJ,15407,Haddon Township NJ
Grimes,IA,15392,Grimes IA
Red Oak,TX,15364,Red Oak TX
Belchertown,MA,15350,Belchertown MA
Johnson City,NY,15343,Johnson City NY
Bennington,VT,15333,Bennington VT
Uvalde,TX,15312,Uvalde TX
Bemidji ,MN,15279,Bemidji  MN
Dixon,IL,15274,Dixon IL
Norridge,IL,15251,Norridge IL
Phillipsburg,NJ,15249,Phillipsburg NJ
Mantua Township,NJ,15235,Mantua Township NJ
Canyon,TX,15221,Canyon TX
Brunswick ,GA,15210,Brunswick  GA
Vandalia,OH,15209,Vandalia OH
Kenmore,NY,15205,Kenmore NY
Asbury Park,NJ,15188,Asbury Park NJ
Depew,NY,15178,Depew NY
Raynham,MA,15142,Raynham MA
Gloversville,NY,15131,Gloversville NY
West Park,FL,15130,West Park FL
Riverdale,GA,15129,Riverdale GA
Tonawanda,NY,15129,Tonawanda NY
Whitman,MA,15121,Whitman MA
Swampscott,MA,15111,Swampscott MA
Pacific Grove,CA,15090,Pacific Grove CA
Longwood,FL,15087,Longwood FL
Highland Park,NJ,15072,Highland Park NJ
Mashpee,MA,15060,Mashpee MA
Macomb,IL,15051,Macomb IL
Metuchen,NJ,15049,Metuchen NJ
Ferndale,WA,15048,Ferndale WA
Fairview,NJ,15025,Fairview NJ
Gulf Shores,AL,15014,Gulf Shores AL
Glasgow,KY,15014,Glasgow KY
River Falls,WI,15000,River Falls WI
Holliston,MA,14996,Holliston MA
Chelsea,AL,14982,Chelsea AL
Greensburg,PA,14976,Greensburg PA
California City,CA,14973,California City CA
Plainfield,CT,14973,Plainfield CT
Branchburg,NJ,14940,Branchburg NJ
Clarksdale,MS,14903,Clarksdale MS
Mineral Wells,TX,14902,Mineral Wells TX
Oldsmar,FL,14898,Oldsmar FL
Andover,KS,14892,Andover KS
Boulder City,NV,14885,Boulder City NV
Fort Payne,AL,14877,Fort Payne AL
Hooksett,NH,14871,Hooksett NH
Lockhart,TX,14844,Lockhart TX
Alexander City,AL,14843,Alexander City AL
Hanover,MA,14833,Hanover MA
Glens Falls,NY,14830,Glens Falls NY
Key Biscayne,FL,14809,Key Biscayne FL
Havre de Grace,MD,14807,Havre de Grace MD
Ramsey,NJ,14798,Ramsey NJ
Worthington,OH,14786,Worthington OH
Hereford,TX,14779,Hereford TX
Sterling,IL,14764,Sterling IL
Deming,NM,14758,Deming NM
Clarkston,GA,14756,Clarkston GA
Monroe ,GA,14756,Monroe  GA
Republic,MO,14751,Republic MO
Great Bend ,KS,14733,Great Bend  KS
West University Place,TX,14724,West University Place TX
Beech Grove,IN,14717,Beech Grove IN
Jennings,MO,14712,Jennings MO
Hammonton,NJ,14711,Hammonton NJ
Red Bluff,CA,14710,Red Bluff CA
Hanover Township,NJ,14677,Hanover Township NJ
Dennis,MA,14674,Dennis MA
Moultrie ,GA,14638,Moultrie  GA
Middlesex,NJ,14636,Middlesex NJ
Antioch,IL,14622,Antioch IL
Corinth,MS,14622,Corinth MS
Wilbraham,MA,14613,Wilbraham MA
Mount Vernon,IL,14600,Mount Vernon IL
Hutchinson,MN,14590,Hutchinson MN
Falls Church,VA,14586,Falls Church VA
Parlier,CA,14576,Parlier CA
Jasper,AL,14572,Jasper AL
Verona,NJ,14572,Verona NJ
Monticello,MN,14564,Monticello MN
Tolland,CT,14563,Tolland CT
Arlington,TN,14549,Arlington TN
Elizabethton,TN,14546,Elizabethton TN
Lake St Louis,MO,14545,Lake St Louis MO
Narragansett,RI,14532,Narragansett RI
Natchez,MS,14520,Natchez MS
Frederick,CO,14513,Frederick CO
Hickory Hills,IL,14505,Hickory Hills IL
Lilburn,GA,14502,Lilburn GA
Greenwood,MS,14490,Greenwood MS
Lebanon ,MO,14474,Lebanon  MO
Bainbridge ,GA,14468,Bainbridge  GA
North Mankato,MN,14448,North Mankato MN
East Bridgewater,MA,14440,East Bridgewater MA
Scottsbluff,NE,14436,Scottsbluff NE
Chicago Ridge,IL,14433,Chicago Ridge IL
Lindenhurst,IL,14406,Lindenhurst IL
Washington Court House,OH,14401,Washington Court House OH
Whitewater,WI,14390,Whitewater WI
Swansea,IL,14386,Swansea IL
Jacksonville,AL,14385,Jacksonville AL
Pineville,LA,14384,Pineville LA
Bedford,MA,14383,Bedford MA
Federal Heights,CO,14382,Federal Heights CO
Alexandria ,MN,14382,Alexandria  MN
Carthage ,MO,14378,Carthage  MO
Chatham,IL,14377,Chatham IL
Ozark,AL,14368,Ozark AL
Hopatcong,NJ,14362,Hopatcong NJ
Forest Park,IL,14339,Forest Park IL
Edgewater,NJ,14336,Edgewater NJ
St Augustine,FL,14329,St Augustine FL
Midlothian,IL,14325,Midlothian IL
East Greenwich,RI,14312,East Greenwich RI
Saddle Brook,NJ,14294,Saddle Brook NJ
Dumas,TX,14290,Dumas TX
Lebanon,NH,14282,Lebanon NH
Orange,CT,14280,Orange CT
Nantucket,MA,14255,Nantucket MA
Brainerd ,MN,14255,Brainerd  MN
Lone Tree,CO,14253,Lone Tree CO
Beach Park,IL,14249,Beach Park IL
Robbinsdale,MN,14245,Robbinsdale MN
Chesterton,IN,14241,Chesterton IN
Hidalgo,TX,14239,Hidalgo TX
Mill Valley,CA,14231,Mill Valley CA
Huron ,SD,14231,Huron  SD
Cromwell,CT,14225,Cromwell CT
Hartford,WI,14223,Hartford WI
Pelham,NH,14222,Pelham NH
Port Royal,SC,14220,Port Royal SC
Willowick,OH,14204,Willowick OH
Shepherdsville,KY,14201,Shepherdsville KY
Somerton,AZ,14197,Somerton AZ
Covington ,GA,14192,Covington  GA
Collingswood,NJ,14186,Collingswood NJ
Livingston,CA,14172,Livingston CA
Morris,IL,14163,Morris IL
Powell,OH,14163,Powell OH
Uxbridge,MA,14162,Uxbridge MA
McFarland,CA,14161,McFarland CA
East Wenatchee,WA,14158,East Wenatchee WA
Newport,KY,14150,Newport KY
Hawaiian Gardens,CA,14149,Hawaiian Gardens CA
Loganville,GA,14127,Loganville GA
Snoqualmie,WA,14121,Snoqualmie WA
Sharonville,OH,14117,Sharonville OH
Bellefontaine,OH,14115,Bellefontaine OH
Cedar Lake,IN,14106,Cedar Lake IN
Shiloh,IL,14098,Shiloh IL
New Ulm ,MN,14096,New Ulm  MN
Wauconda,IL,14084,Wauconda IL
Athens,TN,14084,Athens TN
McPherson ,KS,14082,McPherson  KS
Jacksonville,TX,14074,Jacksonville TX
Lyndhurst,OH,14050,Lyndhurst OH
South Sioux City,NE,14043,South Sioux City NE
Dallas ,GA,14042,Dallas  GA
Beachwood,OH,14040,Beachwood OH
Fergus Falls ,MN,14029,Fergus Falls  MN
Grass Valley,CA,14016,Grass Valley CA
Wood Dale,IL,14012,Wood Dale IL
Pierre ,SD,14000,Pierre  SD
Washington,MO,13982,Washington MO
Moberly,MO,13974,Moberly MO
Roselle Park,NJ,13967,Roselle Park NJ
Speedway,IN,13952,Speedway IN
Wayland,MA,13943,Wayland MA
Waycross ,GA,13942,Waycross  GA
Olean,NY,13937,Olean NY
Destin,FL,13931,Destin FL
College Park,GA,13930,College Park GA
Bexley,OH,13928,Bexley OH
Circleville,OH,13927,Circleville OH
University Heights,OH,13914,University Heights OH
Lakeland,TN,13904,Lakeland TN
Sauk Rapids,MN,13896,Sauk Rapids MN
Maumee,OH,13896,Maumee OH
New Franklin,OH,13877,New Franklin OH
Miami Springs,FL,13859,Miami Springs FL
Minneola,FL,13843,Minneola FL
Glen Carbon,IL,13842,Glen Carbon IL
Millbury,MA,13831,Millbury MA
Nolensville,TN,13829,Nolensville TN
Forest Hill,TX,13818,Forest Hill TX
St Helens ,OR,13817,St Helens  OR
Lumberton,TX,13802,Lumberton TX
Bedford,IN,13792,Bedford IN
East Cleveland,OH,13792,East Cleveland OH
Warrensville Heights,OH,13789,Warrensville Heights OH
McMinnville,TN,13788,McMinnville TN
Ipswich,MA,13785,Ipswich MA
Cayce,SC,13781,Cayce SC
Auburn,CA,13776,Auburn CA
Beacon,NY,13769,Beacon NY
Jackson ,MO,13758,Jackson  MO
Marion,AK,13752,Marion AK
Marion,AR,13752,Marion AR
Trophy Club,TX,13745,Trophy Club TX
Sterling,CO,13735,Sterling CO
Worthington ,MN,13726,Worthington  MN
Santaquin,UT,13725,Santaquin UT
Martinsville,VA,13725,Martinsville VA
York,ME,13723,York ME
New Carrollton,MD,13715,New Carrollton MD
Kingston,MA,13708,Kingston MA
Avenal,CA,13696,Avenal CA
Glenpool,OK,13691,Glenpool OK
Chippewa Falls,WI,13679,Chippewa Falls WI
Endicott,NY,13667,Endicott NY
New Providence,NJ,13650,New Providence NJ
Marshall ,MN,13641,Marshall  MN
Harrison Township,NJ,13641,Harrison Township NJ
Beeville,TX,13641,Beeville TX
Brecksville,OH,13635,Brecksville OH
Lake Forest Park,WA,13630,Lake Forest Park WA
Western Springs,IL,13629,Western Springs IL
Beaufort,SC,13607,Beaufort SC
Eatontown,NJ,13597,Eatontown NJ
New Fairfield,CT,13579,New Fairfield CT
Smithfield,UT,13571,Smithfield UT
Bardstown,KY,13567,Bardstown KY
Seabrook,TX,13560,Seabrook TX
Warrenville,IL,13553,Warrenville IL
North Branford,CT,13544,North Branford CT
Azle,TX,13518,Azle TX
Atlantic Beach,FL,13513,Atlantic Beach FL
Clinton Township,NJ,13505,Clinton Township NJ
Butler,PA,13502,Butler PA
Henderson,TX,13502,Henderson TX
Irondale,AL,13497,Irondale AL
Woodland Park,NJ,13484,Woodland Park NJ
La Grange Park,IL,13475,La Grange Park IL
Lincolnwood,IL,13463,Lincolnwood IL
Englewood,OH,13463,Englewood OH
Harwich,MA,13440,Harwich MA
Broussard,LA,13417,Broussard LA
Port Neches,TX,13416,Port Neches TX
Auburn,IN,13412,Auburn IN
Blytheville,AK,13406,Blytheville AK
Blytheville,AR,13406,Blytheville AR
Braselton,GA,13403,Braselton GA
Rogers,MN,13398,Rogers MN
Fruita,CO,13395,Fruita CO
Blue Ash,OH,13394,Blue Ash OH
Marietta,OH,13385,Marietta OH
Channahon,IL,13383,Channahon IL
Kilgore,TX,13383,Kilgore TX
Hazel Crest,IL,13382,Hazel Crest IL
Andrews,TX,13370,Andrews TX
Little Falls,NJ,13360,Little Falls NJ
South Charleston,WV,13352,South Charleston WV
Coatesville,PA,13350,Coatesville PA
Palos Verdes Estates,CA,13347,Palos Verdes Estates CA
Oxford,MA,13347,Oxford MA
Pottsville,PA,13346,Pottsville PA
King City,CA,13332,King City CA
Connersville,IN,13324,Connersville IN
Palmetto,FL,13323,Palmetto FL
Charlton,MA,13315,Charlton MA
Clayton,OH,13310,Clayton OH
Loveland,OH,13307,Loveland OH
Moncks Corner,SC,13297,Moncks Corner SC
Lincoln,IL,13288,Lincoln IL
Berkeley Heights,NJ,13285,Berkeley Heights NJ
Carpinteria,CA,13264,Carpinteria CA
Cheney,WA,13255,Cheney WA
Canton,IL,13242,Canton IL
Orangeburg,SC,13240,Orangeburg SC
Lake Station,IN,13235,Lake Station IN
Jefferson,GA,13233,Jefferson GA
Steamboat Springs,CO,13224,Steamboat Springs CO
Ridgefield Park,NJ,13224,Ridgefield Park NJ
Coolidge,AZ,13218,Coolidge AZ
Pewaukee,WI,13195,Pewaukee WI
Mandeville,LA,13192,Mandeville LA
Clinton,CT,13185,Clinton CT
Washington,PA,13176,Washington PA
Moody,AL,13170,Moody AL
Las Vegas,NM,13166,Las Vegas NM
North Palm Beach,FL,13162,North Palm Beach FL
Portland,TN,13156,Portland TN
Grand Terrace,CA,13150,Grand Terrace CA
Bedford,OH,13149,Bedford OH
Sharon,PA,13147,Sharon PA
West Carrollton,OH,13129,West Carrollton OH
Medway,MA,13115,Medway MA
Dover,OH,13112,Dover OH
West Monroe,LA,13103,West Monroe LA
Cambridge,MD,13096,Cambridge MD
Superior,CO,13094,Superior CO
Florida City,FL,13085,Florida City FL
Oneonta,NY,13079,Oneonta NY
Waconia,MN,13071,Waconia MN
SoddyDaisy,TN,13070,SoddyDaisy TN
Harrison,AK,13069,Harrison AK
Harrison,AR,13069,Harrison AR
Woodinville,WA,13069,Woodinville WA
Marshall ,MO,13065,Marshall  MO
Larkspur,CA,13064,Larkspur CA
Fernandina Beach,FL,13052,Fernandina Beach FL
Meadville,PA,13050,Meadville PA
Fostoria,OH,13046,Fostoria OH
Callaway,FL,13045,Callaway FL
La Grande ,OR,13026,La Grande  OR
Trenton,OH,13021,Trenton OH
Chino Valley,AZ,13020,Chino Valley AZ
St Ann,MO,13020,St Ann MO
Newcastle,WA,13017,Newcastle WA
Forrest City,AK,13015,Forrest City AK
Forrest City,AR,13015,Forrest City AR
Lynnfield,MA,13000,Lynnfield MA
White House,TN,12982,White House TN
Cedar Grove,NJ,12980,Cedar Grove NJ
Miami ,OK,12969,Miami  OK
Guymon ,OK,12965,Guymon  OK
North Adams,MA,12961,North Adams MA
Holly Hill,FL,12958,Holly Hill FL
Claremont,NH,12949,Claremont NH
Mounds View,MN,12946,Mounds View MN
Solana Beach,CA,12941,Solana Beach CA
Pell City,AL,12939,Pell City AL
Tehachapi,CA,12939,Tehachapi CA
Red Bank,NJ,12936,Red Bank NJ
Emeryville,CA,12905,Emeryville CA
Lake Elmo,MN,12899,Lake Elmo MN
Athens,TX,12890,Athens TX
Smyrna,DE,12883,Smyrna DE
Eufaula,AL,12882,Eufaula AL
Artesia,NM,12875,Artesia NM
Glendale,WI,12872,Glendale WI
El Dorado ,KS,12870,El Dorado  KS
South Daytona,FL,12865,South Daytona FL
Grain Valley,MO,12854,Grain Valley MO
Marysville,CA,12844,Marysville CA
Northlake,IL,12840,Northlake IL
Tega Cay,SC,12832,Tega Cay SC
San Anselmo,CA,12830,San Anselmo CA
Mountain Home,AK,12825,Mountain Home AK
Mountain Home,AR,12825,Mountain Home AR
Florence Township,NJ,12812,Florence Township NJ
Geneva,NY,12812,Geneva NY
Tomball,TX,12810,Tomball TX
Lumberton,NJ,12803,Lumberton NJ
Norwalk,IA,12799,Norwalk IA
Medfield,MA,12799,Medfield MA
Fulton ,MO,12790,Fulton  MO
Greenville,OH,12786,Greenville OH
Santa Fe,TX,12783,Santa Fe TX
Richton Park,IL,12775,Richton Park IL
Gaffney,SC,12764,Gaffney SC
